Country_Eng,Country_Rus,Price_Activate,Price_Grizzly,Qty_Activate,Qty_Grizzly,Market_Min,Market_Max,Market_Avg,Margin,Margin_Min,Margin_Max,Better_Supplier,Items_Qty
Niger,Нигер,0.28,0.0,150,15,1.23,1.23,1.23,1.23,1.23,1.23,grizzly-sms,6
Nigeria,Нигерия,0.4,0.01,319,1549,8.71,8.71,8.71,8.7,8.7,8.7,grizzly-sms,200
North Korea,Северная Корея,,0.01,,19440,,,,,,,,0
North Macedonia,Северная Македония,0.8,0.01,110,19440,,,,,,,,0
Norway,Норвегия,,0.01,,511,,,,,,,,0
Oman,Оман,,0.0,,405,1.9,1.9,1.9,1.9,1.9,1.9,grizzly-sms,15
Pakistan,Пакистан,0.6,0.0,150,21541,6.22,8.71,7.08,7.08,6.22,8.71,grizzly-sms,72
Palestine,Палестина,,,,1,,,,,,,,0
Panama,Панама,,0.01,,3203,3.1,8.71,7.41,7.41,3.09,8.7,grizzly-sms,38
Paraguay,Парагвай,0.23,0.0,10,1690,8.71,12.44,11.2,11.19,8.71,12.44,grizzly-sms,9
Peru,Перу,0.7,0.01,150,25842,1.23,6.22,6.06,6.06,1.22,6.21,grizzly-sms,200
Philippines,Филиппины,0.3,0.0,3964,5099,1.14,18.66,6.61,6.61,1.14,18.66,grizzly-sms,200
Poland,Польша,,0.03,,26514,1.67,4.35,2.64,2.62,1.64,4.32,grizzly-sms,200
Portugal,Португалия,,0.01,,25345,3.07,12.44,4.59,4.58,3.06,12.43,grizzly-sms,32
Qatar,Катар,0.3,0.0,1,471,3.73,12.44,6.69,6.68,3.73,12.44,grizzly-sms,8
Romania,Румыния,,0.02,,26645,4.35,8.71,4.85,4.83,4.33,8.69,grizzly-sms,10
Russia,Россия,,,,,,,,,,,,0
Rwanda,Руанда,0.25,0.0,100,4652,8.71,8.71,8.71,8.71,8.71,8.71,grizzly-sms,9
Saint Kitts and Nevis,Сент-Китс и Невис,0.3,0.0,50,2050,,,,,,,,0
Saint Lucia,Сент-Люсия,,0.0,,16,3.1,3.72,3.43,3.43,3.1,3.72,grizzly-sms,9
Saint Vincent and the Grenadines,Сент-Винсент и Гренадины,0.45,0.01,84,19440,,,,,,,,0
Samoa,Самоа,,0.0,,9,,,,,,,,0
Sao Tome and Principe,Сан-Томе и Принсипи,0.45,0.01,50,3712,,,,,,,,0
Saudi Arabia,Саудовская Аравия,,0.01,,39,8.71,8.71,8.71,8.7,8.7,8.7,grizzly-sms,3
Senegal,Сенегал,0.2,0.0,10,889,0.37,12.44,11.65,11.65,0.37,12.44,grizzly-sms,20
Serbia,Сербия,1,0.01,100,7915,4.34,4.34,4.34,4.33,4.33,4.33,grizzly-sms,4
Seychelles,Сейшельские Острова,,0.0,,58,,,,,,,,0
Sierra Leone,Сьерра-Леоне,0.28,0.01,74,11411,8.71,12.44,8.82,8.81,8.7,12.43,grizzly-sms,103
Singapore,Сингапур,10,,587,,,,,,,,,0
Slovakia,Словакия,1.5,0.01,50,2593,8.71,8.71,8.71,8.7,8.7,8.7,grizzly-sms,1
Slovenia,Словения,1,0.02,79,26040,1.55,3.11,2.25,2.23,1.53,3.09,grizzly-sms,154
Solomon Islands,Соломоновы Острова,,0.01,,19440,,,,,,,,0
Somalia,Сомали,0.28,0.01,50,956,12.44,12.44,12.44,12.43,12.43,12.43,grizzly-sms,1
South Africa,Южно-Африканская Республика,0.5,0.01,6018,10885,0.78,1.23,0.93,0.92,0.77,1.22,grizzly-sms,200
South Korea,Южная Корея,,,,,,,,,,,,0
South Sudan,Южный Судан,0.75,0.0,300,823,,,,,,,,0
Spain,Испания,,0.05,,26151,,,,,,,,0
Sri Lanka,Шри-Ланка,0.4,0.0,156,940,1.23,6.22,3.15,3.15,1.23,6.22,grizzly-sms,13
